iter	Logloss
0	0.6344800516
1	0.5865328817
2	0.5477946357
3	0.5303001891
4	0.5025651644
5	0.4805718623
6	0.463167459
7	0.449440183
8	0.4440738142
9	0.4403744688
10	0.4304942925
11	0.4273386638
12	0.4243329746
13	0.421601673
14	0.4191583139
15	0.4156197919
16	0.4133502295
17	0.4104136612
18	0.4084200639
19	0.4064057076
20	0.4044101324
21	0.4024981262
22	0.3967264284
23	0.3948274843
24	0.3932383129
25	0.3919868568
26	0.3905999134
27	0.3862076147
28	0.3847794948
29	0.3834225388
30	0.3823523573
31	0.3814526993
32	0.3805997375
33	0.3795005315
34	0.3787866419
35	0.3775544894
36	0.3767172631
37	0.3758645144
38	0.3751577378
39	0.3742414663
40	0.3736154405
41	0.3729501517
42	0.3718595274
43	0.3713077477
44	0.3706983923
45	0.3701270758
46	0.3696664762
47	0.3686548836
48	0.3682233453
49	0.367653566
50	0.3672093013
51	0.3665483873
52	0.3661055928
53	0.3657213381
54	0.3651039234
55	0.3647141267
56	0.3643968653
57	0.3641298086
58	0.3637517602
59	0.363410608
60	0.3631118361
61	0.3628087001
62	0.3624654214
63	0.3622103596
64	0.3619543318
65	0.3615660505
66	0.3613453224
67	0.3603153147
68	0.3601226819
69	0.3598852011
70	0.3596377459
71	0.3594659393
72	0.3592802118
73	0.359048529
74	0.3587316783
75	0.3585128487
76	0.3583058971
77	0.3578650503
78	0.3577139922
79	0.3550065648
80	0.3548265229
81	0.354645592
82	0.3545005217
83	0.3543528202
84	0.3542257632
85	0.3541055095
86	0.353991644
87	0.3539233887
88	0.3537806168
89	0.353459131
90	0.35335804
91	0.3512725641
92	0.3509404982
93	0.3508209995
94	0.3507112075
95	0.3506247376
96	0.350518943
97	0.3504301455
98	0.3503260805
99	0.350188781
100	0.3500862904
101	0.3500359472
102	0.3499898884
103	0.3498993056
104	0.3498115596
105	0.3497636545
106	0.3497099819
107	0.3496634048
108	0.3495746965
109	0.3493358538
110	0.3492641542
111	0.3492184714
112	0.3491504521
113	0.3487559202
114	0.3485629362
115	0.3484781903
116	0.3484450018
117	0.3481131543
118	0.3474782575
119	0.3474168514
120	0.3473666276
121	0.3473243554
122	0.3472711851
123	0.3472142208
124	0.3469104723
125	0.3468691221
126	0.3468161623
127	0.3467340654
128	0.3466695685
129	0.3466061097
130	0.3465355723
131	0.3464708747
132	0.3464125794
133	0.346349623
134	0.3462960771
135	0.3462561136
136	0.3462158906
137	0.3461709134
138	0.3461475255
139	0.3460974435
140	0.3460585201
141	0.3460172273
142	0.3459766058
143	0.345947355
144	0.3459219956
145	0.3458738237
146	0.3458303922
147	0.3457850646
148	0.345753062
149	0.3457113533
150	0.3456702699
151	0.3456530821
152	0.3456269978
153	0.3456015062
154	0.3455543567
155	0.345515531
156	0.3454827715
157	0.3454538986
158	0.3454198337
159	0.3451736674
160	0.3451537978
161	0.3451163154
162	0.3450690345
163	0.3450159041
164	0.344984768
165	0.3449383252
166	0.344898618
167	0.3448775167
168	0.3448491534
169	0.3448043078
170	0.3447560085
171	0.3435262006
172	0.3432806105
173	0.3432364938
174	0.3432124895
175	0.3431814775
176	0.343159118
177	0.3431267554
178	0.3428915322
179	0.3428631492
180	0.3428358806
181	0.3428049145
182	0.342778548
183	0.3427603416
184	0.3427008704
185	0.3426859427
186	0.3426523856
187	0.3426366249
188	0.3425917482
189	0.342564569
190	0.3425343265
191	0.3425081733
192	0.3424822888
193	0.3424458927
194	0.3424209561
195	0.3424064926
196	0.3423629166
197	0.3423380404
198	0.3423146123
199	0.3422894952
200	0.342261328
201	0.3422450439
202	0.3422215777
203	0.3421937332
204	0.3421785616
205	0.3421542193
206	0.34213712
207	0.3421194839
208	0.3420995169
209	0.3420764457
210	0.3420417615
211	0.3420249786
212	0.3419858399
213	0.341958686
214	0.341939268
215	0.3418963682
216	0.3418811635
217	0.3418611382
218	0.34184046
219	0.341821903
220	0.3418090374
221	0.3417880418
222	0.3417718995
223	0.3417443039
224	0.3417430338
225	0.3417172338
226	0.3416938868
227	0.3416748468
228	0.3416685947
229	0.3416548023
230	0.3416368245
231	0.3416205453
232	0.3415877145
233	0.3415693344
234	0.3415538377
235	0.341524248
236	0.3415034254
237	0.3414863846
