iter	Passed	Remaining
0	212	21070
1	268	13137
2	324	10494
3	381	9148
4	441	8389
5	500	7848
6	560	7450
7	618	7114
8	676	6841
9	734	6608
10	792	6414
11	852	6252
12	912	6104
13	969	5953
14	1027	5824
15	1088	5715
16	1156	5646
17	1218	5549
18	1275	5438
19	1333	5332
20	1391	5235
21	1452	5151
22	1513	5067
23	1571	4977
24	1628	4884
25	1683	4792
26	1741	4707
27	1799	4627
28	1855	4543
29	1913	4463
30	1969	4382
31	2024	4301
32	2082	4227
33	2134	4143
34	2182	4053
35	2238	3979
36	2285	3891
37	2330	3802
38	2380	3722
39	2441	3661
40	2499	3596
41	2547	3517
42	2596	3442
43	2644	3365
44	2688	3286
45	2739	3215
46	2786	3142
47	2834	3070
48	2879	2996
49	2927	2927
50	2974	2857
51	3028	2795
52	3076	2728
53	3126	2663
54	3175	2598
55	3227	2536
56	3280	2475
57	3337	2416
58	3385	2352
59	3434	2289
60	3483	2226
61	3541	2170
62	3590	2108
63	3649	2052
64	3696	1990
65	3751	1932
66	3799	1871
67	3850	1811
68	3899	1752
69	3948	1692
70	3995	1631
71	4050	1575
72	4106	1518
73	4155	1460
74	4209	1403
75	4266	1347
76	4313	1288
77	4363	1230
78	4421	1175
79	4473	1118
80	4523	1061
81	4580	1005
82	4637	949
83	4681	891
84	4736	835
85	4784	778
86	4831	721
87	4883	665
88	4927	608
89	4973	552
90	5022	496
91	5071	441
92	5120	385
93	5171	330
94	5231	275
95	5278	219
96	5326	164
97	5373	109
98	5422	54
99	5473	0
